activityName,activityCategoryName,activityStartDate [ms],activityStartDate,activityEndDate [ms],activityEndDate,activityDuration [ms],activityDuration
Bike,Sport,1543774323948,Sun Dec 02 19:12:03 GMT+01:00 2018,1543775583948,Sun Dec 02 19:33:03 GMT+01:00 2018,1260000,21 min
Social - Real Life,Social - Persist,1543775583948,Sun Dec 02 19:33:03 GMT+01:00 2018,1543777361368,Sun Dec 02 20:02:41 GMT+01:00 2018,1777420,29 min
Social - Real Life,Social - Persist,1543777361368,Sun Dec 02 20:02:41 GMT+01:00 2018,1543781154297,Sun Dec 02 21:05:54 GMT+01:00 2018,3792929,1 h 3 min
Food,Feeding,1543781154297,Sun Dec 02 21:05:54 GMT+01:00 2018,1543783314297,Sun Dec 02 21:41:54 GMT+01:00 2018,2160000,36 min
Bike,Sport,1543783314297,Sun Dec 02 21:41:54 GMT+01:00 2018,1543784574297,Sun Dec 02 22:02:54 GMT+01:00 2018,1260000,21 min
moving  - groceries,Shopping,1543784574297,Sun Dec 02 22:02:54 GMT+01:00 2018,1543785354297,Sun Dec 02 22:15:54 GMT+01:00 2018,780000,13 min
Walking ,Sport,1543785354297,Sun Dec 02 22:15:54 GMT+01:00 2018,1543785894297,Sun Dec 02 22:24:54 GMT+01:00 2018,540000,9 min
Food - shit,Feeding,1543785894297,Sun Dec 02 22:24:54 GMT+01:00 2018,1543786074297,Sun Dec 02 22:27:54 GMT+01:00 2018,180000,3 min
Youtube,Entertainment,1543786074297,Sun Dec 02 22:27:54 GMT+01:00 2018,1543787219379,Sun Dec 02 22:46:59 GMT+01:00 2018,1145082,19 min
Series / Docu,Entertainment,1543787219379,Sun Dec 02 22:46:59 GMT+01:00 2018,1543790219379,Sun Dec 02 23:36:59 GMT+01:00 2018,3000000,50 min
Analyzing,Personal Adjusting,1543790219379,Sun Dec 02 23:36:59 GMT+01:00 2018,1543791819274,Mon Dec 03 00:03:39 GMT+01:00 2018,1599895,26 min
Analyzing,Personal Adjusting,1543791819274,Mon Dec 03 00:03:39 GMT+01:00 2018,1543797399274,Mon Dec 03 01:36:39 GMT+01:00 2018,5580000,1 h 33 min
Trello,Personal Adjusting,1543797399274,Mon Dec 03 01:36:39 GMT+01:00 2018,1543801064140,Mon Dec 03 02:37:44 GMT+01:00 2018,3664866,1 h 1 min
Sleep,Refresh,1543801064140,Mon Dec 03 02:37:44 GMT+01:00 2018,1543818770721,Mon Dec 03 07:32:50 GMT+01:00 2018,17706581,4 h 55 min
WC ,Personal Hygiene,1543818770721,Mon Dec 03 07:32:50 GMT+01:00 2018,1543819430721,Mon Dec 03 07:43:50 GMT+01:00 2018,660000,11 min
Better Now,Ease up your life,1543819430721,Mon Dec 03 07:43:50 GMT+01:00 2018,1543820090721,Mon Dec 03 07:54:50 GMT+01:00 2018,660000,11 min
Learning - Language,Learning,1543820090721,Mon Dec 03 07:54:50 GMT+01:00 2018,1543822220558,Mon Dec 03 08:30:20 GMT+01:00 2018,2129837,35 min
Sport,Sport,1543822220558,Mon Dec 03 08:30:20 GMT+01:00 2018,1543822880558,Mon Dec 03 08:41:20 GMT+01:00 2018,660000,11 min
Food - Prepare,Feeding,1543822880558,Mon Dec 03 08:41:20 GMT+01:00 2018,1543823426088,Mon Dec 03 08:50:26 GMT+01:00 2018,545530,9 min
Food,Feeding,1543823426088,Mon Dec 03 08:50:26 GMT+01:00 2018,1543824026088,Mon Dec 03 09:00:26 GMT+01:00 2018,600000,10 min
Food,Feeding,1543824026088,Mon Dec 03 09:00:26 GMT+01:00 2018,1543824566088,Mon Dec 03 09:09:26 GMT+01:00 2018,540000,9 min
Youtube,Entertainment,1543824566088,Mon Dec 03 09:09:26 GMT+01:00 2018,1543825179717,Mon Dec 03 09:19:39 GMT+01:00 2018,613629,10 min
Clean,Personal Hygiene,1543825179717,Mon Dec 03 09:19:39 GMT+01:00 2018,1543825949299,Mon Dec 03 09:32:29 GMT+01:00 2018,769582,12 min
WC - analyzing,Personal Hygiene,1543825949299,Mon Dec 03 09:32:29 GMT+01:00 2018,1543826609299,Mon Dec 03 09:43:29 GMT+01:00 2018,660000,11 min
Moving - Analyzing,Transport,1543826609299,Mon Dec 03 09:43:29 GMT+01:00 2018,1543827443854,Mon Dec 03 09:57:23 GMT+01:00 2018,834555,13 min
Work - Meeting,Value Contribution,1543827443854,Mon Dec 03 09:57:23 GMT+01:00 2018,1543829848446,Mon Dec 03 10:37:28 GMT+01:00 2018,2404592,40 min
Learning - Article,Learning,1543829848446,Mon Dec 03 10:37:28 GMT+01:00 2018,1543830988446,Mon Dec 03 10:56:28 GMT+01:00 2018,1140000,19 min
